,cell_id,time_min,parent_id,lane,length,gfp
0,9,1292.999999998969,7,1,2.1085226188154333,29776.405605043903
1,9,1293.9999999989682,7,1,2.033843556043066,29932.581797717547
2,9,1294.9999999989673,7,1,2.074602195318901,30109.033579959912
3,9,1295.9999999989664,7,1,2.120391740391637,30105.380084672684
4,9,1296.9999999989654,7,1,2.0650236562187088,30202.742888646124
5,9,1297.9999999989643,7,1,2.090576692634276,30481.840041898333
6,9,1298.9999999989636,7,1,2.1523869130936144,30528.51992922912
7,9,1299.9999999989627,7,1,2.1167591680508973,30390.280972816425
8,9,1300.9999999989618,7,1,2.291803720176466,30607.56813128285
9,9,1301.999999998961,7,1,2.1843807354332894,30843.979842465764
10,9,1302.99999999896,7,1,2.187565999959001,30767.932632753607
11,9,1303.999999998959,7,1,2.1571745932462236,31014.87767568068
12,9,1304.9999999989582,7,1,2.201151626934356,31030.631903779635
13,9,1305.9999999989573,7,1,2.2454598525947693,31183.245353772425
14,9,1306.9999999989564,7,1,2.222537405285688,31226.667518974024
15,9,1307.9999999989554,7,1,2.3327284603879552,31750.244073051723
16,9,1308.9999999989543,7,1,2.1859360677115878,31704.809132561688
17,9,1309.9999999989536,7,1,2.1744409552757435,31721.72216452704
18,9,1310.9999999989527,7,1,2.328562319123363,31898.53576782164
19,9,1311.9999999989518,7,1,2.218214437418999,31874.20768493615
20,9,1312.999999998951,7,1,2.314147455424423,32153.186802339005
21,9,1313.99999999895,7,1,2.2992769985153707,32246.643164133635
22,9,1314.999999998949,7,1,2.3509681494135832,32099.89528235386
23,9,1315.9999999989482,7,1,2.344832251687292,32353.892529570698
24,9,1316.9999999989473,7,1,2.383280823911894,32175.207684752837
25,9,1317.9999999989464,7,1,2.2915659551509173,32538.3629902662
26,9,1318.9999999989454,7,1,2.322477588488492,32373.579280640504
27,9,1319.9999999989443,7,1,2.4009764973805297,32784.14344562746
28,9,1320.9999999989436,7,1,2.4170199203210117,33094.49088309747
29,9,1321.9999999989427,7,1,2.298150627620563,32824.32450134872
30,9,1322.9999999989418,7,1,2.3033488033124034,33271.73264431986
31,9,1323.999999998941,7,1,2.42155474750615,33370.073103934184
32,9,1324.99999999894,7,1,2.381074552784876,33541.49675855516
33,9,1325.999999998939,7,1,2.5023146922094823,33363.970178812655
34,9,1326.9999999989382,7,1,2.2919256709030478,33370.103552544395
35,9,1327.9999999989373,7,1,2.2669158011674733,33695.50026569729
36,9,1328.9999999989363,7,1,2.3932756473001695,33729.72534018083
37,9,1329.9999999989354,7,1,2.323582420126856,33865.9418813983
38,9,1330.9999999989343,7,1,2.4301267374548137,34075.99128477705
39,9,1331.9999999989336,7,1,2.4573752822339494,34072.32043554899
40,9,1332.9999999989327,7,1,2.4500564462138823,34386.163563582915
41,9,1333.9999999989318,7,1,2.451092707671648,34183.24755565352
42,9,1334.999999998931,7,1,2.342362612746363,34620.26968062268
43,9,1335.99999999893,7,1,2.3675109392880773,34509.439727720055
44,9,1336.999999998929,7,1,2.3844295440059535,34695.57255103481
45,9,1337.9999999989282,7,1,2.4205107718553966,34699.20484764909
46,9,1338.9999999989273,7,1,2.412400134139099,34734.30601938024
47,9,1339.9999999989263,7,1,2.4237234957785354,35213.18609145403
48,9,1340.9999999989254,7,1,2.49604926376238,34712.48146717069
49,9,1341.9999999989243,7,1,2.426604614502057,34713.17943259647
50,9,1342.9999999989236,7,1,2.399374667374094,35320.379020369386
51,9,1343.9999999989227,7,1,2.4499313852618916,35459.58540744794
52,9,1344.9999999989218,7,1,2.504285608855457,35306.841973771174
53,9,1345.9999999989209,7,1,2.5301344454218273,35480.48746808236
54,9,1346.99999999892,7,1,2.4696993399394582,35707.975264697154
55,9,1347.999999998919,7,1,2.527350978921891,35502.73136039451
56,9,1348.9999999989182,7,1,2.4977884098632686,35784.063451501854
57,9,1349.9999999989172,7,1,2.4701910795635253,35843.434732294525
58,9,1350.9999999989163,7,1,2.5750960529758764,36166.66206942522
59,9,1351.9999999989154,7,1,2.604549892065463,36235.06101726128
60,9,1352.9999999989143,7,1,2.5193754598062617,36089.66172478472
61,9,1353.9999999989136,7,1,2.6188554350644164,36161.914103498864
62,9,1354.9999999989127,7,1,2.689215863352118,36361.11283438106
63,9,1355.9999999989118,7,1,2.677634451580555,36446.07119597203
64,9,1356.9999999989109,7,1,2.5135615237821822,36478.84695298297
65,9,1357.99999999891,7,1,2.5787708564296308,36795.2066004551
66,9,1358.999999998909,7,1,2.5830555509740125,36510.88261038798
67,9,1359.9999999989082,7,1,2.5802996872696755,36643.82759148939
68,9,1360.9999999989072,7,1,2.6856134589781764,36890.28865533395
69,9,1361.9999999989063,7,1,2.544797387500133,36767.91618968259
70,9,1362.9999999989054,7,1,2.6879932300235216,37068.16360215296
71,9,1363.9999999989045,7,1,2.682216146928896,36864.40818556984
72,9,1364.9999999989036,7,1,2.699327811289192,36884.49691644039
73,9,1365.9999999989027,7,1,2.6648765351321244,37050.61628896117
74,9,1366.9999999989018,7,1,2.712343301145162,37022.49513573395
75,9,1367.9999999989009,7,1,2.680591448804906,36833.27349536173
76,9,1368.9999999989,7,1,2.6729849745433105,37012.52531590428
77,9,1369.999999998899,7,1,2.6934058910961323,36721.41332145371
78,9,1370.999999998898,7,1,2.7577532052623335,37022.73222344728
79,9,1371.9999999988972,7,1,2.7345233009983043,36938.86336972237
80,9,1372.9999999988963,7,1,2.712270718097532,37084.630325061065
81,9,1373.9999999988954,7,1,2.744135757419472,37007.38889074872
82,9,1374.9999999988945,7,1,2.6865542810810648,37243.09418588685
83,9,1375.9999999988936,7,1,2.7532520129782316,37379.82462636033
84,9,1376.9999999988927,7,1,2.798942180816872,37429.92598339703
85,9,1377.9999999988918,7,1,2.7535137764381172,37214.49208379737
86,9,1378.9999999988909,7,1,2.8192169936745173,37328.54669409331
87,9,1379.99999999889,7,1,2.8349390426286765,37482.123378431854
88,9,1380.999999998889,7,1,2.815802614365727,37701.945901587234
89,9,1381.999999998888,7,1,2.8818704129316983,37850.56866018607
90,9,1382.9999999988872,7,1,2.8775716135445784,37754.22204525668
91,9,1383.9999999988863,7,1,2.8835249680092767,38214.63545959503
92,9,1384.9999999988854,7,1,2.914079066934033,38121.72688960193
93,9,1385.9999999988845,7,1,3.006159892115249,38246.44528411403
94,9,1386.9999999988836,7,1,2.8419036301235754,38053.0101350149
95,9,1387.999999998883,7,1,2.990896277909983,38537.56092406601
96,9,1388.9999999988818,7,1,2.8309170192455486,38230.71004481581
97,9,1389.9999999988809,7,1,2.797988310171136,38566.54583801716
98,9,1390.99999999888,7,1,2.9538958869760967,38754.67805301087
99,9,1391.999999998879,7,1,2.949685626244419,38929.622561102966
100,9,1392.999999998878,7,1,2.9461238901389093,38781.37589589466
